# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Thu, 11 Feb 2021 23:00:04 +0100
#
# IP	number of (black)lists
#
171.25.193.78	10
171.25.193.20	9
185.220.101.194	9
162.247.72.199	8
46.148.20.25	8
51.77.135.89	8
195.206.105.217	8
171.25.193.77	8
185.174.43.6	8
185.220.101.22	8
171.25.193.25	8
91.192.103.26	8
62.210.105.116	8
80.82.77.33	7
185.213.155.169	7
185.220.102.244	7
185.220.102.241	7
185.220.102.243	7
185.220.102.248	7
185.220.102.249	7
217.182.192.217	7
178.20.55.18	7
104.244.77.95	7
94.230.208.147	7
192.42.116.16	7
192.42.116.13	7
185.220.101.215	7
141.98.80.69	7
162.247.74.27	7
185.220.102.6	7
185.220.102.7	7
207.244.70.35	7
176.10.104.240	7
161.35.40.167	7
178.165.72.177	7
80.67.172.162	7
62.102.148.68	7
185.220.100.247	7
192.42.116.27	7
192.42.116.24	7
217.170.206.146	7
5.196.29.8	7
89.234.157.254	7
185.191.124.152	7
185.191.124.151	7
91.192.103.10	7
185.220.101.9	7
185.220.101.8	7
185.220.101.7	7
185.220.101.1	7
80.82.77.139	7
185.174.43.8	7
107.189.10.246	7
185.165.168.229	7
185.220.101.24	7
185.220.102.4	7
185.220.102.8	7
23.129.64.213	7
198.144.121.93	7
77.247.181.165	7
93.174.95.106	7
185.220.103.7	7
95.128.43.164	7
87.118.116.103	7
185.220.101.207	7
185.220.102.250	7
185.220.101.203	7
107.189.10.27	6
203.162.230.150	6
185.220.100.255	6
185.239.242.108	6
185.220.101.134	6
134.122.22.88	6
198.98.49.134	6
5.2.67.21	6
187.223.162.79	6
185.220.102.245	6
185.220.102.247	6
185.220.102.240	6
185.220.102.242	6
162.247.74.74	6
139.162.247.102	6
200.119.112.204	6
23.129.64.230	6
91.192.103.35	6
185.107.47.171	6
185.38.175.72	6
222.187.239.31	6
45.154.255.147	6
45.154.35.236	6
178.20.55.16	6
221.181.185.143	6
221.181.185.148	6
185.220.100.253	6
185.220.100.252	6
185.107.70.202	6
221.131.165.124	6
129.122.16.156	6
192.42.116.17	6
192.42.116.14	6
192.42.116.15	6
192.42.116.18	6
192.42.116.19	6
179.184.89.228	6
193.218.118.135	6
185.220.101.218	6
185.220.101.213	6
40.74.139.130	6
51.89.58.126	6
185.220.101.21	6
162.247.74.216	6
162.247.74.217	6
162.243.42.225	6
104.244.77.101	6
41.110.141.3	6
162.247.74.7	6
222.206.231.192	6
45.148.10.54	6
104.244.72.168	6
138.68.45.97	6
144.217.207.37	6
51.75.144.43	6
104.244.76.13	6
193.169.255.236	6
185.56.80.65	6
144.217.60.239	6
62.102.148.69	6
199.195.254.81	6
185.220.103.8	6
61.155.167.4	6
185.220.100.242	6
185.220.101.17	6
185.220.101.15	6
185.220.101.13	6
185.220.101.12	6
185.220.101.18	6
81.161.63.101	6
192.42.116.23	6
192.42.116.20	6
192.42.116.26	6
149.202.238.204	6
107.189.10.251	6
185.220.100.241	6
68.183.38.181	6
167.71.96.148	6
185.247.224.66	6
198.98.48.77	6
195.54.160.250	6
162.247.74.201	6
162.247.74.200	6
162.247.74.206	6
185.117.215.9	6
81.161.63.103	6
185.220.102.246	6
158.69.126.135	6
45.146.164.106	6
104.244.74.211	6
91.250.242.12	6
195.176.3.24	6
94.102.49.193	6
185.191.124.153	6
91.192.103.15	6
91.192.103.16	6
167.88.7.134	6
185.174.43.3	6
185.220.101.4	6
185.220.101.3	6
62.210.37.82	6
221.131.165.86	6
23.129.64.253	6
81.161.63.253	6
195.254.135.76	6
198.96.155.3	6
185.170.114.25	6
193.218.118.235	6
185.220.101.16	6
77.247.181.163	6
138.197.103.101	6
185.220.103.5	6
176.10.99.200	6
51.79.53.146	6
185.220.103.10	6
106.52.148.185	6
80.82.70.118	6
185.220.102.254	6
185.220.102.253	6
185.220.102.252	6
185.220.102.251	6
64.113.32.29	6
185.100.86.182	6
95.211.230.211	6
23.129.64.202	6
23.129.64.200	6
91.192.103.25	6
45.129.56.200	6
185.220.101.199	6
185.220.101.198	6
144.168.164.26	6
185.32.222.171	6
37.139.16.229	6
51.79.69.241	6
176.31.252.148	6
221.131.165.85	6
112.215.113.10	6
185.220.101.202	6
185.220.101.201	6
162.247.73.192	6
221.181.185.135	6
185.220.101.146	6
185.220.101.205	6
185.220.101.204	6
185.100.87.206	6
185.100.87.207	6
195.154.179.3	5
222.84.117.30	5
115.236.67.42	5
23.129.64.225	5
23.129.64.227	5
51.195.137.109	5
112.196.76.140	5
139.155.182.156	5
197.5.145.102	5
185.53.168.96	5
159.65.180.64	5
107.189.10.237	5
159.75.16.106	5
81.69.170.217	5
141.98.80.71	5
192.81.215.123	5
200.27.113.133	5
122.114.70.12	5
101.32.116.55	5
220.123.241.30	5
58.87.78.176	5
104.236.72.182	5
193.218.118.183	5
140.238.69.224	5
106.250.187.82	5
37.187.180.74	5
203.177.159.170	5
71.6.199.23	5
195.24.207.199	5
200.60.92.170	5
51.79.53.139	5
51.79.53.134	5
31.220.1.233	5
117.51.157.210	5
188.214.104.146	5
14.146.95.68	5
45.9.13.235	5
27.128.244.13	5
68.183.134.38	5
92.222.221.49	5
45.55.167.87	5
94.23.179.199	5
104.236.151.120	5
163.172.121.98	5
81.68.120.99	5
119.45.195.117	5
111.93.2.220	5
134.122.107.214	5
188.166.187.179	5
115.238.62.154	5
142.44.246.156	5
46.101.221.87	5
54.39.50.28	5
49.232.167.99	5
185.189.15.6	5
139.59.73.64	5
183.224.38.56	5
23.129.64.232	5
121.201.94.17	5
183.232.48.168	5
91.192.103.34	5
54.38.183.181	5
132.232.47.59	5
222.239.28.177	5
5.188.206.205	5
209.97.169.65	5
195.206.107.147	5
51.178.47.46	5
84.214.54.186	5
202.153.37.194	5
81.6.43.167	5
94.142.241.194	5
199.195.250.77	5
104.140.188.54	5
61.161.250.202	5
185.153.196.230	5
119.45.157.238	5
120.211.61.239	5
142.44.139.12	5
45.231.132.170	5
81.69.255.211	5
164.132.74.177	5
139.59.244.237	5
46.165.245.154	5
51.255.203.207	5
162.243.18.87	5
31.220.0.186	5
23.129.64.203	5
140.143.12.140	5
62.234.91.205	5
183.92.214.38	5
107.189.10.93	5
217.170.205.14	5
89.144.12.17	5
106.124.142.64	5
37.187.0.20	5
31.220.2.108	5
104.206.128.70	5
62.234.134.153	5
221.181.185.140	5
5.2.73.66	5
118.27.35.131	5
209.127.17.242	5
202.29.239.161	5
104.248.194.212	5
203.245.30.248	5
67.205.186.76	5
185.220.100.251	5
106.12.88.121	5
192.160.102.170	5
43.226.147.4	5
51.91.122.101	5
185.220.100.250	5
185.220.100.254	5
129.204.89.159	5
46.59.65.88	5
152.136.203.208	5
67.207.88.180	5
45.148.121.65	5
94.230.208.148	5
81.69.38.97	5
146.59.154.120	5
140.143.139.81	5
213.32.78.219	5
132.148.165.94	5
213.32.30.227	5
198.144.120.234	5
166.70.207.2	5
46.101.164.5	5
46.101.143.148	5
42.193.106.209	5
42.194.214.248	5
36.110.113.102	5
104.244.73.13	5
185.130.44.108	5
69.179.4.41	5
123.31.41.31	5
185.220.101.216	5
185.220.101.211	5
185.220.101.212	5
191.255.232.53	5
118.193.38.5	5
159.89.20.95	5
68.183.181.7	5
114.143.118.242	5
209.141.45.189	5
51.79.86.181	5
23.129.64.226	5
192.144.237.48	5
185.220.101.193	5
111.229.141.225	5
128.199.168.35	5
139.155.248.142	5
185.220.101.139	5
157.230.232.67	5
218.56.11.236	5
174.138.64.163	5
101.231.146.34	5
150.138.178.18	5
165.22.66.112	5
82.156.71.80	5
81.68.222.241	5
222.185.231.246	5
51.210.182.187	5
178.73.215.171	5
148.70.38.183	5
112.196.43.202	5
123.207.10.199	5
118.24.83.41	5
189.7.217.23	5
167.172.108.60	5
152.136.226.15	5
81.68.224.236	5
121.46.26.126	5
129.213.185.254	5
111.229.26.25	5
190.147.162.41	5
60.248.199.194	5
183.83.217.190	5
139.59.156.228	5
45.141.84.126	5
193.112.213.248	5
51.75.64.21	5
142.165.133.55	5
135.148.33.102	5
104.236.35.211	5
150.109.58.69	5
163.172.162.15	5
61.133.232.252	5
23.129.64.224	5
91.121.84.108	5
51.38.48.127	5
125.212.233.50	5
31.220.1.169	5
134.209.115.165	5
198.98.51.151	5
206.189.88.253	5
89.248.172.16	5
51.79.86.177	5
37.59.43.63	5
190.187.240.84	5
27.155.101.233	5
61.72.255.26	5
218.92.192.170	5
42.194.218.76	5
177.69.196.61	5
122.114.37.11	5
195.70.60.100	5
50.84.96.146	5
106.75.157.9	5
222.187.222.55	5
106.54.72.65	5
150.109.145.30	5
42.157.3.138	5
132.232.82.211	5
78.36.197.146	5
139.155.226.188	5
167.71.9.180	5
146.59.3.161	5
159.203.84.241	5
178.62.52.150	5
139.59.115.54	5
89.248.167.131	5
120.29.125.240	5
123.127.244.100	5
45.55.55.92	5
185.129.62.62	5
186.147.35.76	5
175.197.233.197	5
185.220.100.240	5
185.220.100.249	5
185.220.101.14	5
185.220.101.11	5
185.220.101.10	5
117.50.110.19	5
60.177.122.250	5
81.161.63.100	5
154.8.146.181	5
129.213.94.19	5
101.36.127.47	5
106.12.185.16	5
200.31.19.206	5
185.220.101.195	5
192.42.116.22	5
192.42.116.25	5
192.42.116.28	5
23.129.64.223	5
104.244.79.196	5
89.97.218.142	5
121.186.193.6	5
206.189.63.155	5
167.172.138.255	5
109.160.20.203	5
129.211.42.153	5
184.145.167.92	5
103.57.123.1	5
101.33.118.32	5
149.129.222.60	5
152.136.137.62	5
167.172.45.225	5
148.70.89.212	5
182.254.211.79	5
121.5.62.146	5
150.158.178.63	5
139.99.237.60	5
42.194.138.78	5
211.108.51.122	5
134.122.2.53	5
104.244.77.122	5
82.221.131.71	5
154.221.21.119	5
178.128.33.192	5
51.158.111.157	5
121.66.109.90	5
217.182.66.235	5
128.199.121.185	5
139.186.143.194	5
176.31.46.240	5
49.51.249.135	5
49.212.135.219	5
61.177.172.13	5
104.248.133.143	5
67.205.187.133	5
104.244.74.57	5
111.231.119.188	5
167.172.142.20	5
123.183.172.85	5
119.28.128.79	5
51.68.198.222	5
106.53.249.112	5
139.170.150.253	5
